id,title,changePercent,createdAt
1,테더(USDT/KRW),196.62%,2025-02-17T02:58:55.426033
2,저스트(JST/KRW),143.08%,2025-02-17T02:58:55.426033
3,트론(TRX/KRW),130.54%,2025-02-17T02:58:55.426033
4,유에스디코인(USDC/KRW),129.07%,2025-02-17T02:58:55.426033
5,맨틀(MNT/KRW),123.34%,2025-02-17T02:58:55.426033
