rank,name,marketcap,transactionvalue,createdAt
84,아스타,"4,162 억원",629 억원,2025-02-25T15:14:22.334883
85,블러,"4,157 억원",564 억원,2025-02-25T15:14:22.334883
86,퀀텀,"4,006 억원",859 억원,2025-02-25T15:14:22.334883
87,너보스,"3,823 억원",269 억원,2025-02-25T15:14:22.334883
88,레이어제로,"3,810 억원",832 억원,2025-02-25T15:14:22.334883
89,세이프,"3,694 억원",246 억원,2025-02-25T15:14:22.334883
90,비토르토큰,"3,657 억원",306 억원,2025-02-25T15:14:22.334883
91,질리카,"3,653 억원",343 억원,2025-02-25T15:14:22.334883
92,바나,"3,549 억원","5,678 억원",2025-02-25T15:14:22.334883
93,베이직어텐션토큰,"3,502 억원",296 억원,2025-02-25T15:14:22.334883
94,제로엑스,"3,498 억원",670 억원,2025-02-25T15:14:22.334883
95,라이브피어,"3,440 억원",465 억원,2025-02-25T15:14:22.334883
96,스페이스아이디,"3,427 억원",285 억원,2025-02-25T15:14:22.334883
97,모카네트워크,"3,317 억원",569 억원,2025-02-25T15:14:22.334883
98,가스,"3,211 억원",134 억원,2025-02-25T15:14:22.334883
99,에이셔,"3,140 억원",349 억원,2025-02-25T15:14:22.334883
100,마스크네트워크,"3,119 억원",577 억원,2025-02-25T15:14:22.334883
101,캣인어독스월드,"3,042 억원",607 억원,2025-02-25T15:14:22.334883
102,시아코인,"3,040 억원",321 억원,2025-02-25T15:14:22.334883
103,셀로,"3,038 억원",458 억원,2025-02-25T15:14:22.334883
104,앵커,"2,991 억원",268 억원,2025-02-25T15:14:22.334883
105,유엑스링크,"2,881 억원","1,094 억원",2025-02-25T15:14:22.334883
106,엘프,"2,831 억원",230 억원,2025-02-25T15:14:22.334883
107,레이븐코인,"2,820 억원",160 억원,2025-02-25T15:14:22.334883
108,에스티피,"2,791 억원","1,960 억원",2025-02-25T15:14:22.334883
109,쓰레스홀드,"2,778 억원",252 억원,2025-02-25T15:14:22.334883
