id,name,weeklyGain,monthlyGain,threemonthGain,sixmonthGain,yearlyGain,createdAt
61,1인치네트워크,-7.24%,-31.10%,-8.23%,+10.34%,-29.91%,2025-02-10T17:16:45.478346
62,이캐시,-7.47%,-28.31%,-32.97%,-8.69%,-11.24%,2025-02-10T17:16:45.478346
63,앱토스,-7.57%,-31.20%,-46.58%,+0.03%,-23.40%,2025-02-10T17:16:45.478346
64,카이버네트워크,-7.60%,-30.64%,-12.42%,+6.59%,-22.26%,2025-02-10T17:16:45.478346
65,드리프트,-7.65%,-36.06%,-42.56%,-,-,2025-02-10T17:16:45.478346
66,온도파이낸스,-7.67%,+6.83%,+61.35%,+98.15%,-,2025-02-10T17:16:45.478346
67,시바이누,-7.77%,-27.18%,-35.70%,+26.67%,+90.41%,2025-02-10T17:16:45.478346
68,테조스,-7.79%,-29.58%,+28.33%,+47.01%,-3.23%,2025-02-10T17:16:45.478346
69,엘프,-7.88%,-37.29%,-20.71%,-20.62%,-45.72%,2025-02-10T17:16:45.478346
70,셀로,-7.91%,-31.80%,-34.14%,+0.52%,-31.36%,2025-02-10T17:16:45.478346
71,플로우,-7.92%,-31.10%,-11.33%,+0.38%,-30.73%,2025-02-10T17:16:45.478346
72,아이콘,-8.06%,-35.33%,-11.01%,+8.93%,-35.87%,2025-02-10T17:16:45.478346
73,칠리즈,-8.08%,-28.11%,-7.67%,+16.72%,-33.73%,2025-02-10T17:16:45.478346
74,바운스토큰,-8.12%,-39.46%,-33.40%,-30.67%,-,2025-02-10T17:16:45.478346
75,골렘,-8.12%,-36.74%,-23.08%,-9.66%,+32.42%,2025-02-10T17:16:45.478346
76,미나,-8.15%,-36.50%,-42.08%,-10.18%,-71.07%,2025-02-10T17:16:45.478346
77,솔라나,-8.26%,+10.11%,+3.14%,+53.73%,+113.41%,2025-02-10T17:16:45.478346
78,크레딧코인,-8.36%,-23.68%,+96.84%,+116.49%,+67.33%,2025-02-10T17:16:45.478346
79,헌트,-8.47%,-27.65%,-7.64%,+9.20%,-6.47%,2025-02-10T17:16:45.478346
80,스토리지,-8.52%,-38.64%,-28.67%,+2.97%,-41.69%,2025-02-10T17:16:45.478346
81,비트토렌트,-8.57%,-24.37%,-18.04%,+27.11%,-2.96%,2025-02-10T17:16:45.478346
82,오브스,-8.57%,-26.36%,-17.91%,-13.03%,-29.35%,2025-02-10T17:16:45.478346
83,밀크,-8.58%,-29.34%,-6.12%,-0.03%,-26.54%,2025-02-10T17:16:45.478346
84,비트코인캐시,-8.76%,-23.41%,-17.92%,+6.37%,+34.53%,2025-02-10T17:16:45.478346
85,폴카닷,-8.89%,-27.05%,-2.37%,+19.75%,-23.23%,2025-02-10T17:16:45.478346
86,인젝티브,-8.90%,-28.56%,-34.37%,-,-,2025-02-10T17:16:45.478346
87,질리카,-8.94%,-31.90%,-12.43%,+14.47%,-22.52%,2025-02-10T17:16:45.478346
88,아이오타,-8.95%,-31.00%,+66.86%,+85.05%,+2.02%,2025-02-10T17:16:45.478346
89,베이직어텐션토큰,-9.12%,-27.52%,-2.75%,+16.89%,-11.43%,2025-02-10T17:16:45.478346
90,하이브,-9.56%,-38.64%,+60.27%,+95.72%,+15.70%,2025-02-10T17:16:45.478346
91,스페이스아이디,-9.58%,-39.39%,-36.56%,-22.74%,-52.52%,2025-02-10T17:16:45.478346
92,스타게이트파이낸스,-9.78%,-36.66%,-15.77%,-12.61%,-,2025-02-10T17:16:45.478346
93,블러,-9.87%,-38.60%,-42.47%,-3.63%,-74.82%,2025-02-10T17:16:45.478346
94,유니스왑,-10.10%,-31.60%,+9.48%,-,-,2025-02-10T17:16:45.478346
95,이뮤터블엑스,-10.32%,-33.23%,-34.59%,-24.58%,-66.25%,2025-02-10T17:16:45.478346
96,네오,-10.37%,-28.72%,-0.06%,+20.87%,+2.77%,2025-02-10T17:16:45.478346
97,이더리움클래식,-10.38%,-18.70%,-4.33%,+18.02%,-10.69%,2025-02-10T17:16:45.478346
98,알고랜드,-10.41%,-22.44%,+100.46%,+161.31%,+80.29%,2025-02-10T17:16:45.478346
99,제로엑스,-10.78%,-36.59%,-12.29%,+8.68%,+10.14%,2025-02-10T17:16:45.478346
100,이더리움,-10.80%,-18.31%,-12.98%,+7.58%,+18.44%,2025-02-10T17:16:45.478346
101,디센트럴랜드,-10.87%,-33.96%,-4.47%,+27.99%,-22.64%,2025-02-10T17:16:45.478346
102,비트코인에스브이,-10.90%,-30.31%,-28.19%,-1.09%,-45.07%,2025-02-10T17:16:45.478346
103,게임빌드,-10.97%,-24.15%,+35.92%,+52.03%,+3.80%,2025-02-10T17:16:45.478346
104,멀티버스엑스,-11.09%,-32.37%,-23.64%,-9.61%,-54.66%,2025-02-10T17:16:45.478346
105,더그래프,-11.21%,-33.12%,-24.54%,+3.15%,-9.09%,2025-02-10T17:16:45.478346
